Set,Category,ImagePath
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1184435.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1193977.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1294170.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1329550.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1409194.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1424656.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1426440.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_143373.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1477608.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1500617.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1534315.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1553426.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1559786.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1589886.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_161824.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1648016.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1677103.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1705134.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1741870.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_175233.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1779888.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_178362.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1791860.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1797833.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1854333.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1886687.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1924056.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1934096.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1942570.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_1951293.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2081591.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2097603.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_211850.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2126195.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2163965.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2185049.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2242737.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2245342.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2261453.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2269690.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2323777.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_233976.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2374009.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2395249.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2461109.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2467883.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_247656.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2496501.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_256301.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2583654.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2620915.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2632144.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2672984.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_267631.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2697853.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2705239.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2724105.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2729866.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2745951.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2775035.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2778426.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2778588.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2832685.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2861619.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2861857.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2941397.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2944904.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2952566.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2978709.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2979314.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_2982349.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3009211.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3036443.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3051975.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3074482.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3094261.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3096545.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3125398.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3128563.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3129430.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3134863.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3161929.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3184672.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3230992.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3240079.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3261533.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3264623.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3279666.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3284854.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3298836.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3309884.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_332231.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_33331.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3358021.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3360192.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3390828.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3397618.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3415081.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3427626.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3434313.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_345125.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3480868.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3489023.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3490947.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3514915.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3544433.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3576531.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3579517.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3598867.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3601553.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3625321.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3629189.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3630497.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3645316.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_364963.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3695371.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3703219.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3710184.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3733358.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3865960.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3908.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3945046.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3946595.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_3950957.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_397587.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4025110.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4049018.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4060068.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4154554.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4154737.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4189496.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4190509.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4196158.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4251184.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4257853.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_426842.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4296848.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4309137.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4314640.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4329906.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_434813.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4348648.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4349537.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_435383.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4386072.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4428389.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4464566.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4469188.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4482808.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_450201.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4529368.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4530522.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4537951.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4547714.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4576627.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4608141.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4638928.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4710649.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4724710.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4772243.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4780941.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4805090.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4842117.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4871705.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4896466.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4967879.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4972797.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4975319.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_4998819.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5016510.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5047098.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5066738.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5069536.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5099181.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5109662.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5136276.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5147156.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5163220.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5222845.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5230340.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5237890.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5253415.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5266938.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5300834.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5344760.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5403082.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5433668.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5435045.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5480720.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5499664.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5500179.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5561500.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_556531.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5589531.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5615130.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5630225.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5630757.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5645946.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5653726.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5667727.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5695022.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5718972.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5744991.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5777739.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5810367.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5815808.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5828886.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5867317.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5886929.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5892438.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5898934.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5915591.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5919211.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5924068.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5927658.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_596387.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5984897.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_5989047.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6009218.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6011098.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6144214.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6154191.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_621487.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6236670.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6272922.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6294595.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6310681.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_63181.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6324727.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6325945.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6332388.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6349226.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_637496.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6423512.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6452225.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6452693.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6478197.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6480678.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6506913.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6522288.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6551016.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6599119.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_661131.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6640570.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6644670.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6716297.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6799271.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6815405.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6816685.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6899314.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_6971336.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7007467.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7034051.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7039189.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7059533.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7139588.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7180536.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7193527.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7206687.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7213486.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7232489.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7259457.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7311416.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7311585.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7326263.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7336250.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7349269.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7363295.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7364322.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7389904.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7489923.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7517100.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7535030.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7548793.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7572598.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7584402.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7609531.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7610015.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7635087.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7647963.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7675518.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7712259.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7778825.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7786122.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7790683.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7805912.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7850555.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7865887.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7866351.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7888519.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7928172.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7940490.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7943977.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_795269.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7981296.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_7995613.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8001493.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8019615.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_803556.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8040228.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8092955.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8096422.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8122893.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8148998.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8180717.jpg
Train,Angry,dataset\Comp472OriginalDataSet\Train\Angry\Training_8195915.jpg
